time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,est_qw,est_qx,est_qy,est_qz,est_wx_radps,est_wy_radps,est_wz_radps,q_norm,est_q_norm,tilt_deg,est_tilt_deg,attitude_error_deg,rate_error_radps,body_z_x,body_z_y,body_z_z,lateral_m,cmd_gimbal_total_deg,ach_gimbal_total_deg,gimbal_lag_error_deg,requested_torque_norm_nm,achievable_torque_norm_nm,available_tvc_torque_nm,torque_authority_margin_nm,rate_limited,position_limited,saturated
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999997389244851,0.0003568426839364842,-0.0006283424707222242,0.0,-0.001450579279176703,-0.0004481381253678869,-0.0004002880754057649,1.0,1.0,0.0,0.08280388374178595,0.08280388374236233,0.0,0.0,0.0,1.0,0.0,1.4881053098854062,0.0,1.4881053098854062,0.21171083930610743,0.0,88.89885760261133,88.68714676330522,0,0,0
0.005,3.239365884144266e-07,8.098414710360664e-08,8.991675570246787e-05,0.00012959753559068187,3.239938389767047e-05,0.035966678404520454,0.9999999999996352,-2.0715873977953084e-07,8.286349591181234e-07,0.0,-0.00016572625300257046,0.0006629050120102819,0.0,0.9999997405074612,0.0003604482206940407,-0.0006237394405260835,3.3467603763377473e-06,0.001443055265252539,0.0018416897024451564,0.0013371405732529873,1.0,1.0,9.78753834617457e-05,0.08255157931378551,0.08264656517215188,0.0024011780926291547,1.6572699182356422e-06,4.1431747955891054e-07,0.9999999999985408,3.3390619250872874e-07,1.4923092120436032,0.09948728080290689,1.3928219312406962,0.200613919752651,1.7711073360372929,88.89885760261133,88.69824368285867,0,0,0
0.01,1.6651527405605175e-06,3.2197048293104243e-07,0.0003596662242789893,0.000406854334951819,6.401344952200561e-05,0.0719330852798481,0.9999999999995683,-8.500500831578698e-07,-3.7523326078551477e-07,1.3035226740209912e-12,-0.0003485872511976288,-0.0016260020475654356,3.9214488298810207e-25,0.9999997404731473,0.0003586808989604372,-0.0006248144131724913,2.932544786488563e-06,-0.0007070332891633609,-0.0004300463109343164,-0.0001650902648009469,1.0,1.0,0.00010647553505521843,0.08255724418990157,0.08256920069524282,0.0012593841676177531,-7.504665215729217e-07,1.7001001663140273e-06,0.9999999999982733,1.6959948824436502e-06,1.4882008967206297,0.19206802692123012,1.296133043464527,0.21840774836514473,3.4192574423042097,88.89885760261133,88.68044985424619,0,0,0
0.015,4.734444893521449e-06,7.203302643875351e-07,0.0008092465025171568,0.0008205687236801996,9.536224894707175e-05,0.10789900352816544,0.999999999940458,-1.9604808123738845e-06,-1.0735022282695469e-05,1.1197960228715104e-11,-0.0005397589902120157,-0.006661830593719702,7.842897659762042e-25,0.999999728720229,0.0003523934238174552,-0.0006468054196720248,4.592663776272957e-06,-0.002514598608263232,-0.008796157700071089,0.0006687739411666491,1.0,1.0,0.0012504881333427304,0.0844049464935507,0.08343756230705011,0.002983722892346829,-2.1470044564156476e-05,3.920961624273887e-06,0.9999999997618317,4.788929331237196e-06,1.4728249144874295,0.2774514319256167,1.1953743542288082,0.47564787109842394,4.939270516961696,88.89885760261133,88.42320973151291,0,0,0
0.02,1.0182566859739956e-05,1.2758390389014587e-06,0.001438654757758006,0.0013579401572552455,0.00012688688225129916,0.1438642792321334,0.9999999993146961,-3.55026510722581e-06,-3.685110071119708e-05,4.8252893169750384e-11,-0.0007320714058773386,-0.014231031970935224,1.333292602159547e-23,0.999999704272353,0.00035469847956050944,-0.0006823758180123266,2.7273517966866697e-06,0.0009214775510799113,-0.014228428974588666,-0.0007417070042219122,1.0,1.0,0.004242377022502221,0.08812738218055075,0.0846002305485096,0.0018122803891109766,-7.370220137222837e-05,7.1005302060292545e-06,0.9999999972587842,1.0262184616652511e-05,1.462506165333326,0.35645494055847976,1.1060517173544588,0.6729842845167087,6.345697657437544,88.89885760261133,88.22587331809461,0,0,0
0.025,1.8596562977132194e-05,1.9880607385800932e-06,0.002247887527665252,0.002006299656128282,0.00015806178678203961,0.17982881494828348,0.9999999963868769,-5.6375080591464795e-06,-8.482019202140568e-05,1.4614957936037442e-10,-0.0009377273231056398,-0.024144238837614615,1.333292602159547e-23,0.9999996663785677,0.0003517441111706887,-0.0007372146714598579,-5.775969399497169e-06,-0.0011841224421752245,-0.021936748492060634,-0.0033927405375115977,1.0,1.0,0.009741122711785833,0.09360170328718366,0.08524361840307834,0.004055171085822377,-0.0001696403834315276,1.1275016052762069e-05,0.9999999855475072,1.8702527638336148e-05,1.4477482397066384,0.4292077781616013,1.0185407016550423,0.9242505667630965,7.640839215425135,88.89885760261133,87.97460703584824,0,0,0
0.030000000000000002,3.049809879131054e-05,2.856523569635296e-06,0.0032369410039163066,0.0027521779612224738,0.00018939836283517886,0.21579256998986232,0.999999987122696,-8.24500612128244e-06,-0.00016027048352439637,3.568289839826291e-10,-0.0011482769944530064,-0.036215989877165185,8.862474355531108e-23,0.9999995942713985,0.00034585382832574477,-0.0008316396423930199,-1.4753752622796058e-05,-0.002358531480375946,-0.037771273968125144,-0.0035760899418290073,1.0,1.0,0.01838993107480102,0.10321128736916958,0.08699457264881472,0.0040831414127287255,-0.00032054096292697336,1.649001191583967e-05,0.9999999484907841,3.0631581036381706e-05,1.4177654351194866,0.4951114039754187,0.9226554507887373,1.4560856714018302,8.814040947366399,88.89885760261133,87.44277193120949,0,0,0
0.035,4.6336949216226194e-05,3.8828486745215034e-06,0.004405811330808949,0.00358030185922164,0.00022122192299484358,0.2517555660732715,0.9999999639309283,-1.1379145196063095e-05,-0.00026834428836542144,7.544150939064786e-10,-0.0013590417761419403,-0.050243047860784935,1.8901383360026522e-22,0.9999994826278589,0.0003458316899352685,-0.0009566027376342134,-7.460524909491668e-06,-5.676302951253959e-06,-0.04998424652087461,0.0029345842162405225,1.0,1.0,0.030777625404235502,0.11656213235591184,0.08886242600589359,0.003241968654964454,-0.0005366885573901534,2.2758289166369816e-05,0.9999998557237159,4.649934812980026e-05,1.3937761115012537,0.5550223363255098,0.8387541731063615,1.886194367501177,9.88055199916857,88.89885760261133,87.01266323511015,0,0,0
0.04,6.6487581164383e-05,5.068658236372849e-06,0.005754494865419105,0.004475834849840543,0.00025320770402155566,0.2877178663998762,0.9999999143097684,-1.5050895345932375e-05,-0.0004137075373149931,1.4341265117378951e-09,-0.0015783677229812454,-0.06604754628607319,3.395974686676964e-22,0.9999993082845142,0.00033938049380950703,-0.0011260444119281792,-1.6593844368981732e-05,-0.002583442168929741,-0.06777798502820657,-0.0036274186532658697,1.0,0.9999999999999999,0.047438755497844355,0.1347684319256727,0.09119366154840383,0.004142796032661518,-0.0008274150037717666,3.0101786925817442e-05,0.9999996572390883,6.668050498764663e-05,1.3590088764582497,0.6086212081288189,0.7503900590216849,2.502541161849915,10.83468909171961,88.89885760261133,86.39631644076141,0,0,0
0.045,9.124718499597533e-05,6.416240114962159e-06,0.007282988402152324,0.005422715747133754,0.00028594668046325955,0.32367958224206983,0.9999998194723387,-1.9269260416406184e-05,-0.000600569717397245,2.515003068756788e-09,-0.001796335908215826,-0.08344220109761377,3.843019853283402e-23,0.9999990626653433,0.0003313727600982505,-0.0013283366206078612,-1.955379734691552e-05,-0.003203048484418672,-0.08091739476201316,-0.001152913588744485,1.0,1.0,0.06885563857281488,0.15688112826602035,0.09259803121477553,0.0031117032389750636,-0.0012011392180525215,3.853851085467397e-05,0.9999992778894202,9.147249262429988e-05,1.3320438832076256,0.656849040352691,0.6751992106728726,2.982794403605841,11.693205866788123,88.89885760261133,85.91606319900549,0,0,0
