trial,controller,passed,final_altitude_m,max_altitude_m,max_tilt_deg,final_tilt_deg,max_lateral_m,final_lateral_m,max_angular_rate_radps,min_body_z,saturation_fraction,mass_kg,inertia_scale,thrust_n,wind_x_mps,wind_y_mps,wind_speed_mps,thrust_misalign_deg,thrust_offset_x_m,cp_z_m,cn_alpha,max_gimbal_deg
8,open_loop,0,-0.461451,8.83863,177.903,109.38,24.8662,24.8662,6.00202,-0.99933,0,48.613,0.962196,837.798,3.72967,-1.05437,3.87584,1.33033,0.00485432,0.494882,1.83556,5.82194
8,pd_tvc,1,32.3131,32.3131,11.2289,9.04147,11.7493,11.7493,0.542986,0.980857,0,48.613,0.962196,837.798,3.72967,-1.05437,3.87584,1.33033,0.00485432,0.494882,1.83556,5.82194
8,lqr_tvc,1,32.6695,32.6695,8.97764,7.41518,9.55149,9.55149,0.484809,0.987749,0,48.613,0.962196,837.798,3.72967,-1.05437,3.87584,1.33033,0.00485432,0.494882,1.83556,5.82194
9,open_loop,0,23.871,23.871,132.704,132.704,18.3339,18.3339,2.78664,-0.678216,0,49.8258,0.912288,839.356,6.52247,2.09836,6.85169,2.02171,0.0022019,0.231546,2.44046,5.78536
9,pd_tvc,1,29.2739,29.2739,17.0892,14.8175,17.3486,17.3486,0.832335,0.955849,0,49.8258,0.912288,839.356,6.52247,2.09836,6.85169,2.02171,0.0022019,0.231546,2.44046,5.78536
9,lqr_tvc,1,30.081,30.081,13.6956,12.0265,14.1108,14.1108,0.753511,0.971567,0,49.8258,0.912288,839.356,6.52247,2.09836,6.85169,2.02171,0.0022019,0.231546,2.44046,5.78536
10,open_loop,0,-1.55498,7.98453,173.671,125.338,24.9727,24.9727,6.33476,-0.993905,0,52.4511,0.923998,878.056,4.04544,-2.82146,4.93216,0.239299,0.00467795,0.419624,2.60964,4.27605
10,pd_tvc,1,31.1159,31.1159,1.81092,1.09108,1.53137,1.53137,0.0908898,0.999501,0,52.4511,0.923998,878.056,4.04544,-2.82146,4.93216,0.239299,0.00467795,0.419624,2.60964,4.27605
10,lqr_tvc,1,31.1231,31.1231,1.46262,0.895129,1.2156,1.2156,0.0820567,0.999674,0,52.4511,0.923998,878.056,4.04544,-2.82146,4.93216,0.239299,0.00467795,0.419624,2.60964,4.27605
11,open_loop,0,16.6404,18.1236,179.1,131.52,24.7765,24.7765,4.31475,-0.999877,0,49.3659,0.880444,864.958,0.509857,0.265649,0.574912,2.1547,0.00191276,0.229993,2.57739,4.34124
11,pd_tvc,1,31.3348,31.3348,19.2208,17.4588,21.201,21.201,0.939145,0.944257,0,49.3659,0.880444,864.958,0.509857,0.265649,0.574912,2.1547,0.00191276,0.229993,2.57739,4.34124
11,lqr_tvc,1,32.4595,32.4595,15.4098,14.1002,17.386,17.386,0.857502,0.96405,0,49.3659,0.880444,864.958,0.509857,0.265649,0.574912,2.1547,0.00191276,0.229993,2.57739,4.34124
12,open_loop,0,15.7688,16.5354,169.125,169.125,25.3654,25.3654,2.54313,-0.982042,0,52.4102,0.970934,871.298,-6.47506,-1.60752,6.67162,0.251884,0.000778832,0.246233,3.03233,5.00027
12,pd_tvc,1,30.5206,30.5206,3.15714,3.15714,3.60725,3.60725,0.129626,0.998482,0,52.4102,0.970934,871.298,-6.47506,-1.60752,6.67162,0.251884,0.000778832,0.246233,3.03233,5.00027
12,lqr_tvc,1,30.548,30.548,2.5625,2.5625,3.05644,3.05644,0.115428,0.999,0,52.4102,0.970934,871.298,-6.47506,-1.60752,6.67162,0.251884,0.000778832,0.246233,3.03233,5.00027
13,open_loop,0,-2.71433,8.03878,176.795,146.326,25.3784,25.3784,7.57908,-0.998436,0,49.035,0.966841,876.56,5.23374,2.07954,5.63174,1.06425,0.00605501,0.453673,2.15373,4.2596
13,pd_tvc,1,35.5621,35.5621,9.11158,6.70424,9.4846,9.4846,0.442474,0.987382,0,49.035,0.966841,876.56,5.23374,2.07954,5.63174,1.06425,0.00605501,0.453673,2.15373,4.2596
13,lqr_tvc,1,35.7915,35.7915,7.29135,5.54009,7.6679,7.6679,0.394579,0.991914,0,49.035,0.966841,876.56,5.23374,2.07954,5.63174,1.06425,0.00605501,0.453673,2.15373,4.2596
14,open_loop,0,25.4033,25.4033,145.359,145.359,22.92,22.92,2.35586,-0.82273,0,47.7069,1.13,853.492,-3.74424,-5.07424,6.30613,0.411811,0.000922138,0.207095,3.07073,5.97362
14,pd_tvc,1,36.1099,36.1099,3.99386,3.99386,4.94753,4.94753,0.178218,0.997572,0,47.7069,1.13,853.492,-3.74424,-5.07424,6.30613,0.411811,0.000922138,0.207095,3.07073,5.97362
14,lqr_tvc,1,36.1646,36.1646,3.23839,3.23839,4.09462,4.09462,0.152634,0.998403,0,47.7069,1.13,853.492,-3.74424,-5.07424,6.30613,0.411811,0.000922138,0.207095,3.07073,5.97362
15,open_loop,0,-7.52713,6.55878,178.647,159.436,23.8701,23.8701,6.71475,-0.999721,0,49.9684,0.936574,878.714,0.320212,1.73128,1.76064,1.68972,0.00585467,0.24532,3.0467,5.47565
15,pd_tvc,1,32.848,32.848,15.3207,13.5867,16.901,16.901,0.738615,0.964462,0,49.9684,0.936574,878.714,0.320212,1.73128,1.76064,1.68972,0.00585467,0.24532,3.0467,5.47565
15,lqr_tvc,1,33.5601,33.5601,12.2448,11.0362,13.8096,13.8096,0.664205,0.97725,0,49.9684,0.936574,878.714,0.320212,1.73128,1.76064,1.68972,0.00585467,0.24532,3.0467,5.47565
16,open_loop,0,-0.151475,9.92495,178.644,18.7762,25.6411,25.6411,4.9291,-0.99972,0,48.3842,1.09952,847.549,5.13356,1.89841,5.47333,1.79708,0.00500913,0.179631,1.9287,4.25369
16,pd_tvc,1,32.5026,32.5026,15.8634,14.1367,16.7913,16.7913,0.72662,0.961916,0,48.3842,1.09952,847.549,5.13356,1.89841,5.47333,1.79708,0.00500913,0.179631,1.9287,4.25369
16,lqr_tvc,1,33.2596,33.2596,12.4632,11.3962,13.5219,13.5219,0.627125,0.976435,0,48.3842,1.09952,847.549,5.13356,1.89841,5.47333,1.79708,0.00500913,0.179631,1.9287,4.25369
17,open_loop,0,-0.200542,9.58259,178.745,44.5097,25.0368,25.0368,5.29587,-0.99976,0,50.585,0.851629,877.223,0.12822,0.852843,0.862428,1.89148,0.00346928,0.313298,2.0031,5.6434
17,pd_tvc,1,31.2339,31.2339,17.0201,15.5226,18.7835,18.7835,0.841553,0.956202,0,50.585,0.851629,877.223,0.12822,0.852843,0.862428,1.89148,0.00346928,0.313298,2.0031,5.6434
17,lqr_tvc,1,32.1105,32.1105,13.6949,12.5467,15.4316,15.4316,0.775704,0.97157,0,50.585,0.851629,877.223,0.12822,0.852843,0.862428,1.89148,0.00346928,0.313298,2.0031,5.6434
18,open_loop,0,-9.32707,5.9319,178.634,155.287,23.3708,23.3708,6.7531,-0.999716,0,48.8174,0.867227,846.659,3.93314,-3.25855,5.10761,1.2722,0.00618128,0.166264,2.00799,4.40057
18,pd_tvc,1,32.8008,32.8008,10.8759,10.0172,11.8102,11.8102,0.539995,0.982038,0,48.8174,0.867227,846.659,3.93314,-3.25855,5.10761,1.2722,0.00618128,0.166264,2.00799,4.40057
18,lqr_tvc,1,33.1521,33.1521,8.7689,8.06264,9.6379,9.6379,0.495199,0.988311,0,48.8174,0.867227,846.659,3.93314,-3.25855,5.10761,1.2722,0.00618128,0.166264,2.00799,4.40057
19,open_loop,0,2.23327,10.3674,176.154,69.7043,27.7209,27.7209,4.31583,-0.997748,0,50.8969,0.980251,850.15,-0.884866,7.61472,7.66596,0.597266,0.00304964,0.198446,2.45846,5.50075
19,pd_tvc,1,30.7092,30.7092,5.29362,5.01207,5.80491,5.80491,0.25324,0.995735,0,50.8969,0.980251,850.15,-0.884866,7.61472,7.66596,0.597266,0.00304964,0.198446,2.45846,5.50075
19,lqr_tvc,1,30.7937,30.7937,4.22311,4.04632,4.76357,4.76357,0.224974,0.997285,0,50.8969,0.980251,850.15,-0.884866,7.61472,7.66596,0.597266,0.00304964,0.198446,2.45846,5.50075
20,open_loop,0,9.08277,13.0449,175.637,114.118,26.0745,26.0745,4.23529,-0.997102,0,50.7814,0.930878,842.14,-1.90965,3.02122,3.57415,1.11955,0.00220985,0.299193,2.27764,4.27667
20,pd_tvc,1,29.5997,29.5997,9.7622,9.1393,10.4851,10.4851,0.47289,0.98552,0,50.7814,0.930878,842.14,-1.90965,3.02122,3.57415,1.11955,0.00220985,0.299193,2.27764,4.27667
20,lqr_tvc,1,29.8823,29.8823,7.81841,7.39301,8.5875,8.5875,0.425957,0.990704,0,50.7814,0.930878,842.14,-1.90965,3.02122,3.57415,1.11955,0.00220985,0.299193,2.27764,4.27667
21,open_loop,0,-6.67177,6.63172,177.866,163.863,23.6346,23.6346,6.22808,-0.999307,0,50.6653,0.93037,869.345,6.04993,3.78888,7.13844,1.12336,0.00593225,0.159184,2.62544,5.62866
21,pd_tvc,1,32.2459,32.2459,9.74189,8.6006,9.98977,9.98977,0.47478,0.98558,0,50.6653,0.93037,869.345,6.04993,3.78888,7.13844,1.12336,0.00593225,0.159184,2.62544,5.62866
21,lqr_tvc,1,32.5116,32.5116,7.81324,6.94933,8.06864,8.06864,0.427757,0.990716,0,50.6653,0.93037,869.345,6.04993,3.78888,7.13844,1.12336,0.00593225,0.159184,2.62544,5.62866
22,open_loop,0,-3.95559,7.70453,175.968,137.082,24.9553,24.9553,5.87737,-0.997525,0,48.8574,1.00728,854.147,5.76186,5.30289,7.83069,0.40184,0.00605764,0.220109,2.54172,5.28019
22,pd_tvc,1,34.3776,34.3776,3.18379,2.46206,2.98419,2.98419,0.152651,0.998457,0,48.8574,1.00728,854.147,5.76186,5.30289,7.83069,0.40184,0.00605764,0.220109,2.54172,5.28019
