time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m
0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.005,5.885920128805355e-06,8.097001162678517e-08,8.984394964932822e-05,0.002354167069359097,3.2390900886897674e-05,0.03593756091945555,0.9999999999804313,-2.07122587311554e-07,-6.252569316783612e-06,7.754098828627088e-17,-0.00016568287421932598,-0.005002177659778132,1.1764346489643063e-24,1.0,0.0007168847067511028,-0.0007164916659341097,-0.0007164916659341097,2.373450019095583e-05,-1.2505138633322515e-05,4.1424517461500083e-07,0.9999999999217252,5.886477036858199e-06
0.01,2.353789816242181e-05,3.2399869365817664e-07,0.0003593754685782583,0.004706070602273894,6.483561098125155e-05,0.07187503746142995,0.9999999996868699,-8.283436712122739e-07,-2.501147814013123e-05,1.878779247337203e-15,-0.0003312809158611991,-0.01000506309497914,-1.9607244149405103e-24,1.0,0.002867675583824583,-0.002866104273928251,-0.002866104273928251,9.492119278274702e-05,-5.0022956264598766e-05,1.6566873419056952e-06,0.9999999987474797,2.3540127974546618e-05
0.015,5.293932781168706e-05,7.295372206381484e-07,0.0008085942809493653,0.007053595115041847,9.740697936212988e-05,0.10781248800047646,0.9999999984146328,-1.8634671003751252e-06,-5.627843195731091e-05,1.3301699408155728e-14,-0.0004968068862557596,-0.01500860512800486,-2.078367879836941e-23,1.0,0.006452567558587412,-0.006449033260974075,-0.006449033260974075,0.0002135376012404841,-0.00011255686373617792,3.726934194840194e-06,0.9999999936585312,5.294435431384123e-05
0.02,9.406302476731832e-05,1.2984009818220707e-06,0.0014375004019836063,0.009394624885780443,0.00013017784367179034,0.143749970558833,0.9999999949890119,-3.312328748394794e-06,-0.00010005500799718099,5.268817176568777e-14,-0.0006622736452139358,-0.02001275238294574,-8.235042542750144e-24,1.0,0.011471740411106634,-0.011465459374091179,-0.011465459374091179,0.0003795649209855734,-0.00020011001499161343,6.624657463582965e-06,0.9999999799560477,9.407198559340999e-05
0.025,0.00014687122554601516,2.0317695365649356e-06,0.0022460941358002813,0.011727043969239789,0.00016322103514864025,0.17968754264702996,0.9999999877650979,-5.174796753911314e-06,-0.00015634265467824173,1.5080567076096252e-13,-0.0008276941480969131,-0.02501745329949802,-8.235042542750144e-24,1.0,0.017925359581129528,-0.017915548615573765,-0.017915548615573765,0.0005929880494158117,-0.0003126853055308109,1.034959338114921e-05,0.9999999510603917,0.0001468852782985353
0.030000000000000002,0.0002113155864108117,2.931186594934028e-06,0.0032343760724599328,0.01404873621169251,0.00019660938368383556,0.21562526110445918,0.999999974627627,-7.450771752340952e-06,-0.00022514269106248415,3.505070398147113e-13,-0.000993081442810908,-0.030022656147230188,1.6862229968488387e-23,1.0,0.02581357587788118,-0.02579945219230392,-0.02579945219230392,0.0008537956159650815,-0.0004502853707001649,1.4901543126436554e-05,0.9999998985105094,0.00021133591487250707
0.035,0.00028733718236610543,3.998560023660952e-06,0.004402347084210006,0.01635758526591711,0.00023041572290020588,0.25156318193991095,0.9999999529908533,-1.014018709903113e-05,-0.0003064563063158805,7.04041957231554e-13,-0.001158448666730359,-0.035028309040188076,-8.352686007646574e-23,1.0,0.03513652529893298,-0.03511730646923015,-0.03511730646923015,0.0011619800121820188,-0.0006129125838192764,2.028037324426766e-05,0.9999998119634178,0.0002873650028315128
0.04,0.0003748665062278698,5.236161877541377e-06,0.005750008320933135,0.01865147460629095,0.0002647128952521999,0.28750136017208694,0.999999919798444,-1.3243009083663856e-05,-0.00040028455917633603,1.2679953554275147e-12,-0.001323809043552838,-0.04003435995182713,4.195950247972692e-23,1.0,0.04589432914347961,-0.04586923292710651,-0.04586923292710651,0.001517537421808281,-0.0008005690541458167,2.6486016042092727e-05,0.999999679193789,0.0003749030739840597
0.045,0.00047382346776964003,6.646628456384354e-06,0.00727736120479794,0.020928287544009033,0.000299573757145552,0.3234398496700954,0.9999998715233993,-1.6759237135740355e-05,-0.0005066283774298971,2.0958296906945568e-12,-0.0014891758800891627,-0.0450407567302598,9.215404750220398e-23,1.0,0.05808709388838995,-0.05805533812458445,-0.05805533812458445,0.0019204678508383747,-0.001013256624680081,3.351846996301746e-05,0.9999994860936303,0.000473870083756175
0.049999999999999996,0.0005841173929449402,8.232960387606567e-06,0.00898440742411228,0.023185907242444743,0.0003350711840753768,0.35937870299393715,0.9999998041679978,-2.0688904020988313e-05,-0.0006254885573959849,3.2280096497275578e-12,-0.0016545625629923665,-0.05004744711380511,1.4234859252468104e-22,1.0,0.0717149112301283,-0.07167571366474566,-0.07167571366474566,0.002370775157544376,-0.0012509768698107503,4.1377799934839465e-05,0.9999992166720678,0.0005841754106238448
0.05499999999999999,0.0007056470231869035,9.998522734560456e-06,0.010871148926378917,0.02542221673266871,0.0003712780757814054,0.3953179712349878,0.9999997132637646,-2.5032076028542037e-05,-0.0007568657634223932,4.679689608617318e-12,-0.0018199825554293444,-0.055054378746827025,-1.5881867761018136e-22,1.0,0.08677785797840834,-0.08673043616616108,-0.08673043616616108,0.0028684670824503087,-0.0015137310928033411,5.0064137694793786e-05,0.9999988530552227,0.0007057178556543768
0.05999999999999999,0.0008383005147859149,1.1947045130678699e-05,0.012937587910553614,0.02763509892914194,0.0004082673614190833,0.43125770385648554,0.9999995938714659,-2.978885314875552e-05,-0.0009007605273907607,6.425945926163174e-12,-0.001985449393699154,-0.06006149919584734,1.4234859252468104e-22,1.0,0.10327599609381594,-0.10321956723855637,-0.10321956723855637,0.003413555278242439,-0.0018015203231327992,5.957768208972803e-05,0.9999983754861932,0.0008383856421585978
0.06499999999999999,0.0009819554383461897,1.4082621939511182e-05,0.015183726818505681,0.029822436645599373,0.0004461120047452544,0.4671979485340301,0.9999994405811264,-3.495936924151801e-05,-0.0010571732482331942,8.38453795225824e-12,-0.0021509766838020894,-0.0650687559659186,2.4273768256963516e-22,1.0,0.12120937263742534,-0.12114315346316074,-0.12114315346316074,0.004006055339603265,-0.0021143453136616393,6.991869935144629e-05,0.9999977623251316,0.0009820564154560312
0.06999999999999999,0.0011364787783222786,1.640971244072421e-05,0.01760956832568107,0.03198211261113998,0.00048488500931716363,0.503138750996101,0.9999992475120733,-4.0543792194952054e-05,-0.0012261041914606889,1.0396183459618842e-11,-0.002316578097963793,-0.07007609651724149,4.435158626595434e-22,1.0,0.1405780197377302,-0.14050122637781176,-0.14050122637781176,0.004645986832958574,-0.002452206537665019,8.108752334698224e-05,0.9999969900494253,0.0011365972427554477
0.075,0.0013017269326365739,1.8933141042125404e-05,0.02021511533096813,0.03411200948653949,0.0005246594237035125,0.5390801548646016,0.9999990083130026,-4.654232407438434e-05,-0.001407553488703954,1.2202336058981902e-11,-0.002482267371118776,-0.07508346828201126,5.439049527044976e-22,1.0,0.161381954641726,-0.1612938024668836,-0.1612938024668836,0.005333373326128555,-0.002815104185704058,9.308455580358258e-05,0.9999960332539771,0.0013018646131534356
0.08,0.0014775457123789688,2.1658097517771353e-05,0.023000370945766145,0.03621000988080183,0.0005655083467063093,0.5750222014954377,0.9999987161620727,-5.295520126149068e-05,-0.0016015211372672204,1.3420454029816925e-11,-0.0026480582973578536,-0.08009081868147662,7.446831327944058e-22,1.0,0.18362117965063807,-0.18352088315610288,-0.18352088315610288,0.006068242417875636,-0.0032030381623487075,0.00010591026650820341,0.9999948646515872,0.0014777044377538978
0.085,0.0016637703415899048,2.4590137272208927e-05,0.02596533848225688,0.03827399636796533,0.0006075049325922581,0.6109649298191357,0.9999983637670207,-5.9782694583527146e-05,-0.0018080069996955649,1.3516751885921051e-11,-0.0028139647263440816,-0.08509809514319477,7.446831327944058e-22,1.0,0.20729568214823782,-0.2071824548123098,-0.2071824548123098,0.00685062576734335,-0.0036160080827513865,0.00011956519348134458,0.9999934550734372,0.0016639520499116716
0.09000000000000001,0.0018602254571281193,2.773518163089474e-05,0.029110021440879333,0.040301851504179684,0.0006507223963324336,0.64690837618151,0.9999979433653041,-6.702510943257124e-05,-0.0020270108033562527,1.1776427893648878e-11,-0.002980000559701878,-0.09010524511846532,7.446831327944058e-22,1.0,0.23240543459637528,-0.23227848874821957,-0.23227848874821957,0.007680559123382384,-0.00405401326907259,0.00013404994312506949,0.9999917734696757,0.001860432205603746
0.09500000000000001,0.0020667251086244893,3.109951815683112e-05,0.032434423497007946,0.04229145784506959,0.0006952340188489937,0.6828525741843843,0.9999974467242674,-7.46827858747079e-05,-0.00225853214003456,7.271362665166497e-12,-0.0031461797473840876,-0.09511221609992594,1.3470176730641307e-21,1.0,0.25895039455981217,-0.25880894123223236,-0.25880894123223236,0.008558082353761572,-0.0045170527467595974,0.00014936519034508094,0.9999897869101079,0.0020669590839318746
0.10000000000000002,0.002283072758523443,3.468980099345061e-05,0.03593854848683459,0.04424069796340107,0.0007411131522676802,0.7187975545263767,0.9999968651413328,-8.275609874910719e-05,-0.002502570465544497,-1.1747141444968277e-12,-0.0033125162840217997,-0.10011895563929216,7.446831327944059e-22,0.9999999999999999,0.28693050469647197,-0.28677375350333617,-0.28677375350333617,0.009483239474263534,-0.005005125240679371,0.00016551167864674716,0.999987460584986,0.002283336287760699
0.10500000000000002,0.0025090612822134917,3.8513051233774895e-05,0.03962240039245465,0.04614745446706623,0.0007884332251748624,0.754743344843754,0.9999961894442162,-9.124545775695232e-05,-0.002759125099354813,-1.5023590104540625e-11,-0.0034790242052617905,-0.10512541136522344,3.4312677261458937e-22,1.0,0.316345692798262,-0.3161728517911417,-0.3161728517911417,0.010456078677666323,-0.005518229171106673,0.00018249022020499497,0.9999847578059053,0.002509356844495845
