time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,mass_kg,propellant_fraction,thrust_n,thrust_to_mass_mps2,inertia_x_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,center_of_mass_z_m,cmd_gimbal_total_deg,ach_gimbal_total_deg,gimbal_lag_error_deg,requested_torque_norm_nm,achievable_torque_norm_nm,available_tvc_torque_nm,torque_authority_margin_nm,rate_limited,position_limited,saturated
0.13000000000000003,0.0011170376303842888,6.444782482053059e-05,0.05272849169224043,0.014714552498944343,0.0011302372667725384,0.827293169338116,0.9999380613867219,-0.0001392650427647407,-0.011128970990711109,3.1652519633776204e-07,-0.003645404866145572,-0.4382019397994756,-3.060685706593534e-22,1.0,1.2754123156764077,-1.275312504680382,0.015961160167867822,-0.022256563443523256,0.0002785057885627718,0.9997522532198716,0.0011188952541764778,49.95627040668052,0.9945338008350644,826.4,16.542467907882244,3.1467202805010386,3.1467202805010386,0.4794533800835064,-0.07901608415031158,0.49850559697487573,0.7897463727817434,0.29133211214937127,17.334254086893154,13.668561387325902,86.43060696799765,69.0963528811045,0,0,0
0.13500000000000004,0.0011890309380763234,7.025939472857699e-05,0.05694926366542921,0.014051618418444791,0.001194662644137594,0.8610391707712092,0.9999249477330505,-0.00014844117858059446,-0.012250586358843265,3.7066159353104044e-07,-0.0036963266041625514,-0.4591578533133056,5.724279235604119e-21,1.0,1.40395196579657,-1.403848958246073,0.017013415980538533,-0.024499333959174033,0.00029685099382354373,0.9996998021981622,0.0011911049299915973,49.95454916733408,0.9943186459167598,827.8,16.571063372568858,3.146591187550056,3.146591187550056,0.47943186459167597,-0.07897735626501676,0.4422107863282504,0.7665743547993698,0.32446509243701455,18.33994656934351,13.290011669308225,86.5770286158137,68.23708204647019,0,0,0
0.14000000000000004,0.0012571507672118137,7.639817840204228e-05,0.061339117515406,0.013163619231619815,0.0012611276644959072,0.8949258219122073,0.9999098840414813,-0.00015773513590409648,-0.013423818964535957,4.3101769899295223e-07,-0.0037398428103589255,-0.479511572818251,5.724279235604119e-21,1.0,1.5384087464143488,-1.5383026108599043,0.018079339318915165,-0.026845218664419242,0.00031543027109514124,0.9996395524080686,0.0012594700207485695,49.95282501451275,0.9941031268140933,829.2,16.599661776067588,3.146461876088456,3.146461876088456,0.4794103126814093,-0.07893856282653677,0.38632476084970924,0.7412205354223682,0.35501207168444526,19.341873174327556,12.872213458459147,86.72345026362977,67.38157708930221,0,0,0
0.14500000000000005,0.001320240795450158,8.287443535012945e-05,0.06589875461437102,0.012038192259228187,0.0013296563622438662,0.9289523598158559,0.9998927117823219,-0.00016712847192657635,-0.01464708136185091,4.979319683167659e-07,-0.003776037307274922,-0.49920053858247776,5.724279235604119e-21,1.0,1.678601179511231,-1.6784919883725078,0.019156841738283817,-0.029291019971632037,0.0003342064955212949,0.9995708701513065,0.0013228393439890834,49.95109794821652,0.9938872435270651,830.6,16.628263123686878,3.146332346116239,3.146332346116239,0.4793887243527065,-0.07889970383487172,0.33098990059076655,0.7138667547572666,0.38301428632444806,20.337556273667886,12.418137316399115,86.86987191144586,66.53231563777797,0,0,0
0.15000000000000005,0.0013770840849181042,8.969853568793266e-05,0.07062887228583986,0.010663458592463213,0.0014002689465145862,0.9631179279606863,0.9998732749028276,-0.00017660297397691755,-0.0159186351851307,5.717287871196125e-07,-0.003805012168731849,-0.5181669046001612,1.0247684632928949e-20,1.0,1.8243305402953462,-1.824218369578355,0.020243862769931432,-0.03183323599101803,0.0003531429856117848,0.9994931317304647,0.0013800023203746042,49.9493679684454,0.9936709960556752,832.0,16.65686742073695,3.146202597633405,3.146202597633405,0.4793670996055675,-0.07886077929002153,0.27634314451257547,0.6846916375532174,0.4085167570774859,21.324623140491784,11.930719173756964,87.01629355926191,65.69167041877013,0,0,0
0.15500000000000005,0.0014264055609271248,9.688094115600864e-05,0.07553016334051958,0.009028046749813882,0.0014729818608325263,0.9974215778781303,0.9998514213985551,-0.00018614070421821418,-0.01723660287009705,6.527162124602668e-07,-0.003826886775387012,-0.5363574840876061,7.231967563314117e-21,1.0,1.975382199776289,-1.9752671287930212,0.021338374840733018,-0.03446808400249201,0.00037220359416513684,0.9994057297462738,0.001429691834278667,49.947635075199386,0.9934543843999235,833.4,16.68547467252979,3.146072630639954,3.146072630639954,0.47934543843999233,-0.07882178919198621,0.22251766193400416,0.6538703451165662,0.4315680529059933,22.300807728980786,11.412855541817066,87.16271520707797,64.86190747809718,0,0,0
0.16000000000000006,0.0014668746036272083,0.00010443218645866348,0.08060331562279893,0.007121114193923523,0.0015478078509080933,1.031862271767872,0.9998270048677907,-0.00019572404202372433,-0.018598979236849625,7.411838248918365e-07,-0.0038417968610305,-0.5537236872812786,1.024782102796785e-20,1.0,2.1315269506245507,-2.131409061713725,0.022438387887074265,-0.037191523698090166,0.0003913527949092561,0.9993080793268933,0.0014705873603207042,49.94589926847848,0.99323740855981,834.8000000000001,16.714084884379155,3.145942445135886,3.145942445135886,0.47932374085598095,-0.07878273354076579,0.16964759892933326,0.6215743429309605,0.4522200677607667,23.263952173891496,10.86739895133162,87.30913685489405,64.04518468100255,0,0,0
0.16500000000000006,0.0014971077419255244,0.00011236286096082575,0.08584901157269446,0.004932366720331071,0.0016247560402386728,1.0664388860621579,0.9997998860305093,-0.0002053357240087519,-0.020003642916226177,8.374007004320624e-07,-0.003849893552089985,-0.5702214518712816,1.1755781874137872e-20,1.0,2.2925223141570723,-2.2924016924055937,0.02354195366338232,-0.03999928015957243,0.00041055576479470603,0.9991996242146413,0.0015013184217402531,49.94416054828268,0.9930200685353348,836.2,16.742698061600567,3.145812041121201,3.145812041121201,0.47930200685353347,-0.07874361233636024,0.11788492796360606,0.587971184438909,0.47052780341661665,24.212008015187653,10.297153629880091,87.45555850271012,63.24355048752247,0,0,0
0.17000000000000007,0.0015156714390665697,0.00012068359078167939,0.09126792780788423,0.002452075733490316,0.0017038320131706683,1.1011502158924915,0.999769934194371,-0.0002149588817001077,-0.021448367601656783,9.416135105303574e-07,-0.0038513424027632206,-0.5858111664107155,1.1755781874137872e-20,1.0,2.458113826387354,-2.457990559352662,0.02464716974697566,-0.042886866536186535,0.00042977846187819944,0.999079842639807,0.0015204684936841297,49.942418914611984,0.9928023643264977,837.6,16.771314209511342,3.1456814185958986,3.1456814185958986,0.4792802364326497,-0.07870442557876958,0.06748973679142634,0.5532243116190505,0.48654915560156886,25.143037153394154,9.704871432470322,87.60198015052617,62.45894299713202,0,0,0
0.17500000000000007,0.0015210849593564532,0.00012940502132147217,0.09686073473020669,-0.0003289065708883504,0.001785037905064749,1.1359949804037546,0.9997370286515038,-0.0002245770768298064,-0.02293083310932799,1.0540447569759413e-06,-0.003846322428147572,-0.6004575870474268,1.0247615499397221e-20,1.0,2.62803630117587,-2.6279104786109966,0.025752183242286515,-0.045849606387874754,0.0004489876987373183,0.9989482529160975,0.0015265795469361018,49.94067436746639,0.9925842959332989,839.0,16.799933333430562,3.1455505775599795,3.1455505775599795,0.47925842959332987,-0.0786651732679938,0.020242466878082857,0.5174928733141544,0.5003447022754094,26.055212541525975,9.09324804592083,87.74840179834224,61.69318925681627,0,0,0
