time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,gimbal_x_deg,gimbal_y_deg,gimbal_total_deg,requested_torque_norm_nm,achievable_torque_norm_nm,saturated
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4994862221762746,0.0,1.4994862221762746,0.0,26.69134395027892,0
0.005,5.795991666475422e-06,8.129024546323104e-08,8.984628064301753e-05,0.0023000463129076994,3.258252978600566e-05,0.035938958346496144,0.9999999985456091,-2.0392231417795365e-07,-5.3932738219563154e-05,5.342215021818262e-16,-0.00016185095232672882,-0.04281007758703778,0.0,1.0,0.006180280725062398,-0.006180236558126261,-0.006180236558126261,2.336777600382812e-05,-0.00010786547628224774,4.0784462776268417e-07,0.9999999941824362,5.796561696545635e-06,1.431471894441915,0.00025731260752143387,1.4314719175683828,1.2116346887647005,25.48092503520241,0
0.01,2.2803940887244793e-05,3.26541444088985e-07,0.00035939426567702424,0.004482249144335822,6.559449205714015e-05,0.07188072157388352,0.9999999774446906,-8.029096534375206e-07,-0.00021239108682728213,1.2952025194613979e-14,-0.00031608767898615945,-0.08362896501144013,0.0,1.0,0.02433839983280124,-0.024338225945806084,-0.024338225945806084,9.200667516988586e-05,-0.0004247821640734709,1.605819270649788e-06,0.9999999097787633,2.2806278725466425e-05,1.365176936969881,0.000507976416084424,1.3651770314777882,2.3926019699629095,24.301071240401082,0
0.015,5.0397310456468976e-05,7.38049926091272e-07,0.0008086585050005582,0.006531816312332364,9.909506264507123e-05,0.10782548550731692,0.9999998893318869,-1.7781930959843618e-06,-0.00047046046823012505,8.778332665102586e-14,-0.0004629232315531833,-0.12250732568770983,0.0,1.0,0.053911185580515185,-0.05391080050363227,-0.05391080050363227,0.00020376598676401326,-0.0009409208323303057,3.556385798307577e-06,0.9999995573275718,5.040271440050744e-05,1.3005880063394724,0.0007520743755810631,1.3005882237856643,3.5431409152927134,23.15154931565732,0
0.02,8.787761912672161e-05,1.3184006058787138e-06,0.0014376543103435213,0.008434758568168062,0.0001331405141503503,0.14377335876398006,0.9999996610404901,-3.1115339001837684e-06,-0.0008233524295853163,3.2955100038617053e-13,-0.0006025687755447347,-0.15949541719166127,0.0,1.0,0.09434992291888832,-0.09434924919557187,-0.09434924919557187,0.00035655588312318807,-0.0016467043010043624,6.223065690456851e-06,0.9999986441621902,8.788750834753894e-05,1.2376907063571363,0.0009896934654235866,1.2376911020509045,4.663509479232595,22.032106953041797,0
0.025,0.00013447839934285888,2.07045268599735e-06,0.0022463973158307906,0.010177866879594826,0.0001677843037356632,0.17972436157973443,0.9999991980992431,-4.7852184733353835e-06,-0.0012664035583350231,8.862656736646781e-13,-0.0007352334331032304,-0.19464306054757397,-2.0077818008990826e-22,1.0,0.14512023287706405,-0.1451191969007239,-0.1451191969007239,0.0005483469641548388,-0.002532805085610111,9.570429269885397e-06,0.9999967923982583,0.00013449433692220048,1.1764696511170094,0.0012209243868415544,1.1764702846462958,5.753983356416834,20.942473928359828,0
0.030000000000000002,0.00018936904223543203,2.997325796338227e-06,0.0032349030353530485,0.011748690051502794,0.00020307715943693213,0.21567842568477497,0.9999983888298002,-6.78205294005693e-06,-0.0017950743181950233,1.9150592101856226e-12,-0.0008611241353753826,-0.2279996113833501,-4.015563601798165e-22,1.0000000000000002,0.20570194328161107,-0.20570047517525106,-0.20570047517525106,0.000777169775817882,-0.003590142852049577,1.3564084019155332e-05,0.9999935553243923,0.00018939276152771584,1.116908526461138,0.0014458612637714566,1.1169094623094502,6.81485486854626,19.882363214128546,0
0.035,0.000251658531560981,4.102386561181225e-06,0.004403186421688067,0.013135512683904314,0.00023906716498620347,0.2516353951089445,0.9999971080675537,-9.085357346522414e-06,-0.002404947813474299,3.5261397618564034e-12,-0.000980445484346957,-0.25961393290419715,-6.023345402697248e-22,1.0,0.27558895150826235,-0.275586985012619,-0.275586985012619,0.0010411142940668064,-0.004809881717055435,1.817066212760507e-05,0.9999884322869415,0.00025169196666347264,1.0589901496801997,0.00166460135291771,1.0589914579529693,7.846431883692389,18.851472061237903,0
0.04,0.00032039906827335005,5.389235586630831e-06,0.005751261431739234,0.014327333466096649,0.00027579984314584955,0.2875950278054232,0.9999952205278552,-1.1678959533597049e-05,-0.003091728488794843,5.707286124086574e-12,-0.0010933996238802963,-0.28953437063108045,-8.03112720359633e-22,1.0,0.3542890797692004,-0.35428655211546384,-0.35428655211546384,0.0013383293680473336,-0.006183427423929436,2.3357807393379795e-05,0.9999808821571072,0.00032044438957584985,1.0026965273399808,0.0018772447634012267,1.0026982846238237,8.849036770051022,17.8494830472691,0
0.045,0.0003945895874024239,6.8616948610084125e-06,0.0072791406017211555,0.015313843805104225,0.00031331823755789104,0.3235569979892296,0.9999925838389535,-1.4547188709024732e-05,-0.0038512407705533387,8.231112826599758e-12,-0.0012001861196919857,-0.3178087288471573,-2.0077818008990824e-22,1.0,0.44132392337765913,-0.44132077517655743,-0.44132077517655743,0.0016670221183171835,-0.00770242441826335,2.909416158606099e-05,0.999970335465813,0.000394649243433686,0.948008911156759,0.0020838941862735853,0.9480112015412072,9.823005385517696,16.87606509015361,0
0.049999999999999996,0.0004731791689058849,8.5237955607929e-06,0.008986834635622911,0.016085406786021692,0.0003516629931154136,0.3595208990943484,0.9999890512622692,-1.7674868746232172e-05,-0.0046794276558135076,1.0547331858867444e-11,-0.0013010018480021882,-0.34448424869342975,2.0077818008990828e-22,1.0,0.5362286925218382,-0.5362248676497705,-0.5362248676497705,0.0020254572875587763,-0.00935875284397512,3.534935035874873e-05,0.9999562052888263,0.00047325593601900667,0.8949078518767114,0.0022846546340585527,0.8949107681760159,10.768686103879597,15.930874426468327,0
0.05499999999999999,0.0005550703441469745,1.0379766254742642e-05,0.010874352009816388,0.016633036461622425,0.0003908724348652913,0.3954862472603424,0.9999844741198762,-2.1047311234994022e-05,-0.0055723492537344665,1.1662213993928157e-11,-0.001396040892584283,-0.36960758785377096,-6.023345402697248e-22,1.0,0.6385520479909915,-0.6385474934749308,-0.6385474934749308,0.002411956542681082,-0.011144525476216381,4.209396878395386e-05,0.9999378969616105,0.000555167386018797,0.8433732511412249,0.0024796331903857455,0.8433768963644181,11.686438877934934,15.013555554193566,0
0.05999999999999999,0.0006391222996378056,1.243402149888117e-05,0.012941698596248304,0.016948377468520643,0.0004309826454528966,0.4314524852660212,0.9999787039483438,-2.4650308307134223e-05,-0.006526181284121326,1.0007414068377735e-11,-0.0014854944499429381,-0.39322480176914093,-2.0077818008990828e-22,1.0,0.7478559312942672,-0.7478505972032682,-0.7478505972032682,0.002824897728402163,-0.013052084604455656,4.929956657516995e-05,0.9999148167004184,0.0006392432391390241,0.793384411342083,0.0026689387697011973,0.7933889004736455,12.576634339451216,14.123742140225442,0
0.06499999999999999,0.000724153979674326,1.4691150815085391e-05,0.015188877306258529,0.017023684967241277,0.0004720275411203194,0.4674189868341308,0.999971594397334,-2.847012525859843e-05,-0.0075372135372242365,3.3002719439989e-12,-0.0015695507423501489,-0.41538132632108515,6.023345402697248e-22,1.0,0.8637153896141463,-0.8637092289529318,-0.8637092289529318,0.00326271407338747,-0.015073998876262765,5.6938633045315254e-05,0.9998863792030924,0.0007243029864569356,0.7449200834884916,0.002852681886974425,0.7449255456610745,13.439652935548056,13.261057893350054,0
0.06999999999999999,0.0008089470894762065,1.7155908046073346e-05,0.017615887756702434,0.016851804903727043,0.0005140389462699545,0.5033850612371084,0.9999630028906182,-3.249349298760068e-05,-0.008601848298506399,-1.1602364217254637e-11,-0.0016483949384716596,-0.43612196192538144,1.4054472606293577e-21,1.0,0.9857183960064008,-0.9857113646069976,-0.9857113646069976,0.0037238933508150908,-0.017203060109967274,6.498458184417641e-05,0.999852014300045,0.0008091289877101863,0.6979585131222872,0.0030309744372692955,0.6979650942890434,14.275884100829483,12.425117403774358,0
0.075,0.0008922490004331794,1.9833201079647966e-05,0.020222725959719808,0.016426154590068274,0.0005570466666052582,0.5393499581397173,0.9999527920664275,-3.670760026710423e-05,-0.009716598741745327,-3.885482179895135e-11,-0.001722209081320182,-0.45549085897787206,6.023345402697247e-22,1.0,1.1134656652299884,-1.1134577216496155,-1.1134577216496155,0.004206976995869732,-0.0194322800823919,7.341173550937185e-05,0.999811172722888,0.0008924694026346638,0.6524774843289222,0.003203929485004787,0.6524853505791097,15.085725464386886,11.615526950693065,0
0.08,0.0009727755590490506,2.27280819351115e-05,0.02300938403718574,0.015740703602552964,0.00060107856086012,0.575312872619857,0.9999408310133243,-4.1100085868623216e-05,-0.010878087293520432,-8.377590974882535e-11,-0.00179117202327663,-0.47353150459599636,6.023345402697247e-22,1.0,1.2465704656010017,-1.2465615710195423,-1.2465615710195423,0.0047105591831524225,-0.021754887296229722,8.21953098590235e-05,0.9997633310552351,0.0009730410340739193,0.6084543619002972,0.0033716610627001686,0.608463703612483,15.869582090639293,10.831885279786556,0
0.085,0.0010492138011659437,2.5845737204821098e-05,0.025975849960598468,0.014789954995481065,0.0006461606111277122,0.6112729503140273,0.9999269963170446,-4.565903055321005e-05,-0.01208304397186927,-1.530030556394181e-10,-0.001855459367925947,-0.4902867106012496,2.2085599809889907e-21,1.0,1.3846584272248883,-1.3846485453443624,-1.3846485453443624,0.005233285867351293,-0.024164323730302053,9.131139824912429e-05,0.9997079959272538,0.0010495320874984,0.5658661317116851,0.0035342839789755187,0.5658771688110328,16.627865752865695,10.073784353042015,0
0.09000000000000001,0.0011202245730444664,2.9191478843908642e-05,0.029122107316903886,0.013568926829550455,0.0006923169917989573,0.6472292926388361,0.9999111729330489,-5.0372948944507254e-05,-0.013328304701660791,-2.546455833667206e-10,-0.0019152434184597864,-0.5057986026896687,2.2085599809889907e-21,0.9999999999999999,1.5273673469550373,-1.5273564439032856,-1.5273564439032856,0.005773853790767412,-0.02665424157486777,0.00010073695571438551,0.9996447075126912,0.001120604852965465,0.524689439379098,0.0036919136355619045,0.5247024280697056,17.360994238208722,9.340810073943025,0
0.09500000000000001,0.0011844450608704351,3.277073530123654e-05,0.032448135100525216,0.012073134013986936,0.0007395701371199248,0.6831809620445765,0.9998932548988063,-5.523078129787482e-05,-0.01461080960903237,-3.984355474916942e-10,-0.0019706931324041488,-0.5201086107394303,2.2085599809889907e-21,0.9999999999999999,1.6743469904184727,-1.6743350346515282,-1.6743350346515282,0.00633100946144397,-0.02921849995332025,0.00011044978300800418,0.9995730423842587,0.001184898317710238,0.4849006272658841,0.0038446658530645545,0.4849158687632006,18.069390682884407,8.632542992002508,0
0.10000000000000002,0.001240491230255552,3.658904298470562e-05,0.0359539075316573,0.010298570461944868,0.0007879408073766168,0.7191269872612718,0.9998731458991417,-6.022188517884157e-05,-0.015927601297064917,-5.958746511552163e-10,-0.002021974082435942,-0.5332574602066932,3.0116727013486236e-21,0.9999999999999999,1.8252588914163625,-1.8252458536249976,-1.8252458536249976,0.006903548105721349,-0.03185116163097533,0.00012042851055319817,0.9994926157804925,0.0012410307209765074,0.44647576990833054,0.00399265670521613,0.44649362192846853,18.753482936314107,7.948558992018444,0
0.10500000000000002,0.0012869601772979057,4.065203805407145e-05,0.03963939390069762,0.00824169155903853,0.0008374481537147288,0.7550663685017108,0.9998507596972951,-6.533602706345712e-05,-0.01727582310472361,-8.603758888322389e-10,-0.0020692484230582097,-0.5452851645628823,3.8147854217082566e-21,1.0,1.9797761490135908,-1.9797620020302853,-1.9797620020302853,0.007490312599047331,-0.03454648971119555,0.0001306525823174046,0.999403083334516,0.0012876020682449241,0.40939070792984894,0.004136002361354846,0.4094116000491877,19.413702952897513,7.288429975652605,0
0.11000000000000003,0.0013224323927682371,4.496544853446108e-05,0.04350455843851828,0.005899396945169028,0.0008881097816011482,0.7909980825898659,0.9998260204436745,-7.056337387252725e-05,-0.018652717350967307,-1.2073986718921312e-09,-0.0021126748629093635,-0.5562310187286684,3.0116727013486236e-21,0.9999999999999999,2.137583222602895,-2.1375679413118864,-2.1375679413118864,0.008090192378822572,-0.03729894431878624,0.00014110223961862848,0.9993041423124703,0.0013231966312701338,0.3736210805121709,0.004274818936862854,0.37364553507304893,20.050486210166188,6.6517245465784764,0
