time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,est_qw,est_qx,est_qy,est_qz,est_wx_radps,est_wy_radps,est_wz_radps,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,attitude_error_deg,rate_error_radps,estimator_correction_rad,q_norm,est_q_norm,tilt_deg,est_tilt_deg,signed_pitch_deg,est_signed_pitch_deg,signed_yaw_deg,est_signed_yaw_deg,body_z_x,body_z_y,body_z_z,est_body_z_x,est_body_z_y,est_body_z_z,lateral_m,gimbal_x_deg,gimbal_y_deg,gimbal_total_deg,requested_torque_norm_nm,achievable_torque_norm_nm,saturated
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999994927782611,0.0010061034809603331,4.689356459821031e-05,0.0,-0.0030253609889132798,-0.002579400988777106,-0.0007252241843229371,0.0069746390110867204,-0.008579400988777106,0.001274775815677063,-0.027046685760215128,-0.17047613386213237,17.207955217711685,0.11541614743981075,0.0,0.002014392464141303,1.0,1.0,0.0,0.11541614745128766,0.0,0.0053736148366917424,0.0,-0.1152909862556285,0.0,0.0,1.0,9.378708162554987e-05,-0.002012205941285552,0.9999979711135586,0.0,1.4956516660052477,-0.011527046428338277,1.4956960850465693,0.2162799591038742,26.623892900114352,0
0.005,5.866372715965934e-06,3.8263574525708995e-08,8.984446079579334e-05,0.0023449778074917586,1.5320541910849242e-05,0.03593780289263244,0.9999999985072274,-6.344962278927463e-07,-5.4636459202292704e-05,5.675526449991128e-16,-0.0005075823551558039,-0.04370928901520462,-1.2548636255619266e-23,0.9999994958484832,0.0010018973180049692,-6.706403732309262e-05,-2.6378675205932607e-06,-0.001682416095687712,-0.04558407958902624,-0.001009364120409952,0.008317583904312288,-0.051584079589026235,0.000990635879590048,0.1336547013219231,0.008611032821204241,17.033693215266535,0.11489092679726692,0.0024318490786135426,0.0,1.0,0.9999999999999999,0.0062612991464717875,0.1150659121723911,-0.0062608770427788766,-0.007685287019914355,7.2707912276017e-05,-0.11480897536408509,-0.0001092729182414658,1.2689924538911133e-06,0.9999999940289096,-0.00013413329277010122,-0.0020037932719817416,0.999997983408358,5.8664975022380265e-06,1.416633482985377,-0.013865426786044476,1.4167013359121392,1.49645516719776,25.218054081951347,0
0.01,2.3125840608732795e-05,1.4487387601655023e-07,0.00035938601740011244,0.004554228784680394,2.7377691127652398e-05,0.0718789135625727,0.9999999767511424,-2.624561091712855e-06,-0.00021561731490614115,-1.098114018135937e-11,-0.0010844580122118014,-0.08507550339804507,-1.2548636255619266e-23,0.9999994638902289,0.0009961379083801747,-0.00028271611582386934,3.467580118219986e-07,-0.0023034423254654993,-0.08625960073838047,0.0012804286024983465,0.007696557674534501,-0.09225960073838048,0.0032804286024983465,0.05708815445939743,-0.04966822055023222,17.156293335025953,0.11470776391385808,0.002127793851256236,0.0,1.0,1.0,0.024709754798940074,0.11865730557955788,-0.024707924459830836,-0.03239688954427515,0.0003007525685038088,-0.11414903972399115,-0.00043123461978651216,5.249122066125064e-06,0.9999999070045705,-0.0005654312376763931,-0.0019922749447499736,0.9999978555617307,2.312629439189225e-05,1.340075464589883,-0.012654278982700494,1.340135210183048,2.8486471283992416,23.855391221899,0
0.015,5.106456211996102e-05,3.172746907604936e-07,0.0008086415597290651,0.006613833090607348,4.167691880827878e-05,0.10782345762600931,0.9999998861335155,-6.011845265190124e-06,-0.00047717587292647013,-5.863199326308759e-11,-0.0016253609794960424,-0.12417144752986578,-3.137159063904817e-22,0.999999334712611,0.0009905425867613221,-0.0005910908236802337,3.3700598456448954e-06,-0.0022377769607151727,-0.12334863206280305,0.001332826416147852,0.0077622230392848275,-0.12934863206280306,0.003332826416147852,-0.04266040590792611,-0.14547997249511185,17.19201425348807,0.11494105160050207,0.0016818159478586738,0.0,1.0,1.0,0.054684668806157875,0.1321814288109226,-0.05468032928632885,-0.06773374011534457,0.0006889069600652712,-0.11350812561489121,-0.0009543516371835571,1.2023689217240423e-05,0.9999995445340881,-0.0011821741844943317,-0.0019810878395545616,0.999997338874044,5.106554775710093e-05,1.2683833481041193,-0.0126778121918676,1.2684467054905335,4.122949457264618,22.579497552532402,0
0.02,8.89104321041646e-05,5.626920091881843e-07,0.0014376281784985205,0.008514397443222492,5.6623240079741674e-05,0.14377138996180774,0.9999996523170471,-1.0752215915419453e-05,-0.0008338166313891082,-1.8400962628336005e-10,-0.002166930980036455,-0.16114129832952112,-5.144940864803899e-22,0.99999902525745,0.0009850545031525472,-0.0009895161505735228,3.0924706807053006e-06,-0.002195712264994004,-0.15937021313615377,4.812531278539263e-05,0.007804287735005996,-0.16537021313615377,0.0020481253127853927,0.035217450650659746,-0.06813388408096019,17.064665120290314,0.11549802588441338,0.0017719726776278416,0.0,1.0,0.9999999999999999,0.0955563026358364,0.1599968963477457,-0.09554835882083662,-0.11339003284421473,0.001232114487281509,-0.11287946593942029,-0.0016676326829666022,2.1504424660975123e-05,0.9999986092684302,-0.001979024279595714,-0.001970113206055385,0.999996101050827,8.891221265521664e-05,1.1970858713070864,-0.012660842961230512,1.1971528224197339,5.391445181672436,21.310592202029262,0
0.025,0.00013583009334093663,8.85096061052922e-07,0.0022463628759301765,0.010240808858079146,7.251058724567019e-05,0.1797227195334567,0.9999991803522206,-1.6845860369940333e-05,-0.001280238690260057,-4.771080352994675e-10,-0.002707985120360526,-0.19599661223137232,6.901749940590597e-22,0.9999984208232682,0.000981304644363619,-0.0014816826832529395,2.9310167005074867e-06,-0.0015003767837522015,-0.19686674323904416,0.0001308277964556506,0.008499623216247799,-0.20286674323904416,0.0021308277964556506,0.087264599394144,-0.07773112402264956,17.122612150724475,0.11668624849836619,0.0014941759526519499,0.0,1.0,0.9999999999999999,0.1467172873984515,0.20364908379339386,-0.14670458757913568,-0.16978830643979795,0.0019303982189332383,-0.112450115083035,-0.0025604752818144403,3.369169434616092e-05,0.9999967214102259,-0.0029633549343876424,-0.0019626148750936947,0.9999936833152421,0.0001358329770418246,1.121561941016671,-0.013845177097331216,1.121647393999531,6.73643497432831,19.966692709912618,0
0.030000000000000002,0.00019089974608293015,1.2853252774356834e-06,0.003234862712398461,0.011772007432109603,8.779354717254507e-05,0.21567745908592617,0.9999983598445908,-2.4336056410149364e-05,-0.001810998587707196,-1.1508758481591925e-09,-0.0032841799430045095,-0.22861186300998132,-9.160504466602063e-22,0.9999974141641456,0.0009721383160223367,-0.0020558648758873875,5.632838727978249e-06,-0.0036652028929275993,-0.22967207757895036,0.001311540197724777,0.006334797107072401,-0.23567207757895037,0.003311540197724777,0.02662351244621912,-0.14189907456385034,17.15654602572186,0.11758642976067456,0.0017289797890288519,0.0,1.0,0.9999999999999999,0.20754400139128074,0.26059547104761266,-0.20752526517812203,-0.23558463369748806,0.0027887206030346805,-0.1114008960461585,-0.0036219912347201172,4.8672037158938684e-05,0.9999934393837434,-0.004111708167719848,-0.001944294765175032,0.9999896567334131,0.00019090407307230514,1.0530654565310076,-0.009806868057987691,1.0531111196829925,7.953813622641794,18.74680559790807,0
0.035,0.00025313435064028907,1.780326500262125e-06,0.004403143823416215,0.013104554066662232,0.00011045659605088608,0.2516352288159841,0.9999970694169977,-3.311701036310654e-05,-0.002420756220660368,-2.218139711000011e-09,-0.0037406027881150645,-0.25919537253823277,-1.7191631670198392e-21,0.9999958787950056,0.0009655452731845001,-0.0027037169450922524,5.478199831875466e-06,-0.002638200698119193,-0.25914151985641937,0.00019549059184486737,0.007361799301880807,-0.26514151985641937,0.0021954905918448674,0.030642040156360628,0.029738994401006857,17.236217633606216,0.11894497169082245,0.00112089564673328,0.0,1.0,1.0,0.2774244572923762,0.32898726976048503,-0.2773985007248127,-0.3098233445158935,0.003794963821956382,-0.11064626588451776,-0.004841498252719754,6.623383736106878e-05,0.9999882776851676,-0.005407401026141043,-0.001931112210952424,0.9999835152740125,0.0002531406111956917,0.9893074879757633,-0.011538287269760422,0.9893747711752279,9.089750779021472,17.612328462812343,0
0.04,0.000321525385389465,2.386136345476677e-06,0.005751220449042479,0.014232482834213146,0.000132151838653131,0.28759565076519905,0.9999951797663007,-4.310325960989749e-05,-0.0031046072655020775,-3.770626879934448e-09,-0.004248433741172719,-0.28788757622740824,-1.7191631670198392e-21,0.9999936818974692,0.0009555298444355853,-0.0034238980542032754,7.069249325286014e-06,-0.004005164965997906,-0.2880730706373356,0.0009254007686635294,0.005994835034002094,-0.2940730706373356,0.0029254007686635294,0.2832159901905933,-0.010294910587514729,16.983878027719843,0.12014459409102878,0.0009746560704845637,0.0,1.0,1.0,0.35579664426882057,0.4073430683903632,-0.3557623591999233,-0.3923503458728459,0.004939342473493119,-0.10950037039018196,-0.006209184600813974,8.620612709685715e-05,0.9999807191116721,-0.006847739333571212,-0.001911096023378133,0.9999747277696619,0.0003215342393843978,0.9252932722987738,-0.008916973090267124,0.9253362373594072,10.228712776371772,16.472450943978696,0
0.045,0.00039501802413979045,3.1145863529334043e-06,0.0072791049887543854,0.01514323322753838,0.0001595465515327064,0.32355836557027223,0.9999925571392295,-5.426192794222161e-05,-0.003857813083595659,-5.958701368938075e-09,-0.004678563809018376,-0.31468074286890835,6.9017499405906e-22,0.9999906791050671,0.000947506180386307,-0.004212347790884975,7.817528239696584e-06,-0.003209503323413029,-0.31538180392322984,0.0006116621406068072,0.006790496676586971,-0.32138180392322985,0.0026116621406068073,-0.02903569450136692,-0.18487778059162896,17.076285022625456,0.12177471107907696,0.0017388950188280735,0.0,1.0,1.0,0.44211763962798023,0.49476168238869594,-0.44207391414460245,-0.482700729266181,0.006218100370162834,-0.10858289022597328,-0.007715568740213337,0.0001085230941316058,0.9999702286677105,-0.008424602241754946,-0.0018950605578571243,0.9999627167162538,0.00039503030269012773,0.8630369209457546,-0.010209166201875241,0.8630973027359466,11.337638513200016,15.364586060655666,0
