time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,0.0,0.0,0.0003596675000000001,0.0,0.0,0.07193350000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.02,0.0,0.0,0.0014386700000000004,0.0,0.0,0.14386700000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.03,0.0,0.0,0.0032370075000000007,0.0,0.0,0.21580050000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.04,0.0,0.0,0.005754680000000002,0.0,0.0,0.28773400000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05,0.0,0.0,0.008991687500000001,0.0,0.0,0.35966750000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.060000000000000005,0.0,0.0,0.012948030000000003,0.0,0.0,0.431601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.07,0.0,0.0,0.017623707500000002,0.0,0.0,0.5035345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.08,0.0,0.0,0.023018720000000003,0.0,0.0,0.575468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09,0.0,0.0,0.029133067500000005,0.0,0.0,0.6474015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09999999999999999,0.0,0.0,0.035966750000000006,0.0,0.0,0.719335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.10999999999999999,0.0,0.0,0.04351976750000001,0.0,0.0,0.7912684999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.11999999999999998,0.0,0.0,0.05179212000000001,0.0,0.0,0.8632019999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.12999999999999998,0.0,0.0,0.06078380750000001,0.0,0.0,0.9351354999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.13999999999999999,0.0,0.0,0.07049483000000001,0.0,0.0,1.007069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.15,0.0,0.0,0.08092518750000001,0.0,0.0,1.0790025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.16,0.0,0.0,0.09207488000000001,0.0,0.0,1.1509360000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.17,0.0,0.0,0.10394390750000002,0.0,0.0,1.2228695000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.18000000000000002,0.0,0.0,0.11653227000000002,0.0,0.0,1.2948030000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.19000000000000003,0.0,0.0,0.12983996750000001,0.0,0.0,1.3667365000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.20000000000000004,0.0,0.0,0.14386700000000002,0.0,0.0,1.4386700000000006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.21000000000000005,0.0,0.0,0.15861336750000002,0.0,0.0,1.5106035000000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.22000000000000006,0.0,0.0,0.17407907000000003,0.0,0.0,1.5825370000000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.23000000000000007,0.0,0.0,0.19026410750000003,0.0,0.0,1.6544705000000008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.24000000000000007,0.0,0.0,0.20716848000000004,0.0,0.0,1.726404000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25000000000000006,0.0,0.0,0.22479218750000005,0.0,0.0,1.798337500000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.26000000000000006,0.0,0.0,0.24313523000000006,0.0,0.0,1.8702710000000011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2700000000000001,0.0,0.0,0.2621976075000001,0.0,0.0,1.9422045000000012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2800000000000001,0.0,0.0,0.2819793200000001,0.0,0.0,2.0141380000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2900000000000001,0.0,0.0,0.3024803675000001,0.0,0.0,2.0860715000000014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3000000000000001,0.0,0.0,0.32370075000000015,0.0,0.0,2.1580050000000015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3100000000000001,0.0,0.0,0.34564046750000016,0.0,0.0,2.2299385000000016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3200000000000001,0.0,0.0,0.36829952000000016,0.0,0.0,2.3018720000000017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3300000000000001,0.0,0.0,0.3916779075000002,0.0,0.0,2.373805500000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34000000000000014,0.0,0.0,0.41577563000000023,0.0,0.0,2.445739000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.35000000000000014,0.0,0.0,0.44059268750000025,0.0,0.0,2.517672500000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.36000000000000015,0.0,0.0,0.46612908000000025,0.0,0.0,2.589606000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.37000000000000016,0.0,0.0,0.4923848075000003,0.0,0.0,2.661539500000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.38000000000000017,0.0,0.0,0.5193598700000003,0.0,0.0,2.7334730000000023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3900000000000002,0.0,0.0,0.5470542675000003,0.0,0.0,2.8054065000000024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4000000000000002,0.0,0.0,0.5754680000000003,0.0,0.0,2.8773400000000025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4100000000000002,0.0,0.0,0.6046010675000003,0.0,0.0,2.9492735000000025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4200000000000002,0.0,0.0,0.6344534700000003,0.0,0.0,3.0212070000000026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4300000000000002,0.0,0.0,0.6650252075000004,0.0,0.0,3.0931405000000027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4400000000000002,0.0,0.0,0.6963162800000005,0.0,0.0,3.165074000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.45000000000000023,0.0,0.0,0.7283266875000005,0.0,0.0,3.237007500000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.46000000000000024,0.0,0.0,0.7610564300000006,0.0,0.0,3.308941000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.47000000000000025,0.0,0.0,0.7945055075000006,0.0,0.0,3.380874500000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.48000000000000026,0.0,0.0,0.8286739200000006,0.0,0.0,3.452808000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.49000000000000027,0.0,0.0,0.8635616675000006,0.0,0.0,3.5247415000000033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5000000000000002,0.0,0.0,0.8991687500000006,0.0,0.0,3.5966750000000034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5100000000000002,0.0,0.0,0.9354951675000006,0.0,0.0,3.6686085000000035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5200000000000002,0.0,0.0,0.9725409200000007,0.0,0.0,3.7405420000000036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5300000000000002,0.0,0.0,1.0103060075000008,0.0,0.0,3.8124755000000037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5400000000000003,0.0,0.0,1.0487904300000008,0.0,0.0,3.8844090000000038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
