time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,control_tx_nm,control_ty_nm,control_tz_nm,control_torque_norm_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.005,5.885920128805355e-06,8.097001162678517e-08,8.984394964932822e-05,0.0023541682499511594,3.2390861769242e-05,0.03593756088699164,0.9999999999806048,-2.06202478344947e-07,-6.224794938050817e-06,7.651287906181646e-17,-0.00016457899882790685,-0.004968854120344012,-1.1438685018328793e-38,1.0,0.0007137001287512393,-0.000713308956574073,-0.000713308956574073,2.3629063469979913e-05,-1.2449589875860172e-05,4.124049566818944e-07,0.9999999999224191,5.886477036858199e-06,0.001324055279843529,0.03997492558051757,-1.454028420691626e-26,0.03999684734515959
0.01,2.3537933560461627e-05,3.2399752093118413e-07,0.0003593754676053076,0.004706089477511287,6.483498567694615e-05,0.07187503694282495,0.999999999692406,-8.209878062738352e-07,-2.4789395865437913e-05,1.856050030512153e-15,-0.00032686939800446427,-0.009871859212786825,-2.998053802396475e-24,1.0,0.0028422128533611944,-0.0028406555198310993,-0.0028406555198310993,9.407827274911353e-05,-4.957879171562569e-05,1.6419756120425166e-06,0.999999998769624,2.354016335309242e-05,0.002644510745052483,0.07986729195317586,2.398443040654145e-23,0.07991106156856213
0.015,5.293961087975288e-05,7.295278434825007e-07,0.0008085942731775185,0.007053690628188053,9.740381545914935e-05,0.10781248538019936,0.9999999984565585,-1.8386579514487226e-06,-5.5529291883508706e-05,1.3076463150200805e-14,-0.0004868900030633751,-0.014709106040557404,3.265653745187658e-24,0.9999999999999999,0.0063666753800218695,-0.006363188131852635,-0.006363188131852635,0.00021069468214691508,-0.00011105858359560503,3.6773158972202712e-06,0.9999999938262341,5.2944637225823594e-05,0.003961311710657018,0.11967190282918012,-2.6590521298833834e-23,0.11973744743072536
0.02,9.406422736317008e-05,1.2983611464188963e-06,0.0014375003690160369,0.009394926625262881,0.00013016784923502525,0.14374996229868095,0.9999999951652074,-3.253562126065205e-06,-9.828020946717055e-05,5.1511602368747655e-14,-0.0006446598041007752,-0.019480693768054447,2.9740783556697645e-24,1.0,0.011268251995730748,-0.011262082442570018,-0.011262082442570018,0.00037283076181613057,-0.00019656041798401258,6.507124220659689e-06,0.9999999806608296,9.407318752490895e-05,0.005274406668778441,0.15938363766814778,-2.1931557165784284e-23,0.1594708854996393
0.025,0.00014687490274654903,2.031647738824805e-06,0.0022460940351925023,0.011727780320738013,0.00016319664690061175,0.1796875225445364,0.999999988301336,-5.06009723439452e-06,-0.00015287813326398056,1.4660630945045507e-13,-0.0008001979664000972,-0.0241867298496173,2.6766923851943454e-23,1.0,0.01752813716758265,-0.01751854370064197,-0.01751854370064197,0.0005798444512411049,-0.00030575626295102274,1.012019435035146e-05,0.9999999532053439,0.00014688895346261715,0.006583747229508718,0.19899745153005677,-2.2530377363933383e-22,0.19910633200136896
0.030000000000000002,0.0002113247407390868,2.9308833992095883e-06,0.003234375822597361,0.014050262442951194,0.00019655883757499953,0.21562521957734976,0.9999999759582937,-7.252708296205298e-06,-0.0002191593265941115,3.3879760652566795e-13,-0.0009535238210855007,-0.028827329918825473,7.244880502855847e-23,1.0,0.025127557241881586,-0.02511380911256489,-0.02511380911256489,0.0008310992107004954,-0.0004383186426502996,1.4505416243527131e-05,0.9999999038331757,0.00021134506411539877,0.007889288061072839,0.238508374918309,-5.870491651881219e-22,0.238638818661766
0.035,0.0002873569682672286,3.997904740341124e-06,0.0044023465456869155,0.01636041154091924,0.00023032212709555495,0.25156310534331017,0.9999999558589998,-9.825888846221414e-06,-0.00029696035165486796,6.765841779818012e-13,-0.0011046568558094698,-0.03340261767832277,1.84239890680105e-23,1.0,0.03404777312899418,-0.03402915017016435,-0.03402915017016435,0.0011259640706418872,-0.0005939206770934954,1.9651776824591868e-05,0.999999823436003,0.0002873847777006393,0.009190986829332878,0.2779115136142646,-1.3259757750207212e-22,0.27806345253964704
0.04,0.0003749050744322193,5.234884611671148e-06,0.005750007274613253,0.01865629392547014,0.0002645533055588524,0.28750123015505663,0.999999925374818,-1.2774181309782802e-05,-0.0003861180894333165,1.2114079374245733e-12,-0.0012536167054802625,-0.03791272479016061,1.6824650218897986e-23,1.0,0.044270082422315934,-0.04424587494661511,-0.04424587494661511,0.0014638136789109143,-0.0007722361212383985,2.55483607120789e-05,0.9999997014992827,0.0003749416205916935,0.010488804136693198,0.317202048503575,-1.350829292734565e-22,0.3173754158517673
0.045,0.0004738929491654081,6.644327539572795e-06,0.007277359326769555,0.02093600360722176,0.0002993182549040927,0.32343964257796637,0.9999998815441007,-1.609217735488684e-05,-0.00048646975933048115,1.990413096996075e-12,-0.001400423143034972,-0.04235779076665374,-3.064572766275042e-23,1.0,0.0557758217624963,-0.05574533036113532,-0.05574533036113532,0.0018440283457825026,-0.0009729394034106007,3.2184350895410454e-05,0.9999995261764304,0.0004739395260548979,0.01178270346046688,0.35637523539461846,2.4315492695746345e-22,0.35656996578989514
0.049999999999999996,0.0005842350215656813,8.229065205594913e-06,0.008984404257782717,0.02319766223146364,0.00033468195653588037,0.35937838932277083,0.9999998210904002,-1.9774518220798837e-05,-0.0005978529385004389,3.0471497081922456e-12,-0.00154509607026402,-0.04673796286174018,7.177348359323908e-23,1.0,0.06854636899946352,-0.06850890441249839,-0.06850890441249839,0.0022659940867468054,-0.0011957056630777384,3.95490293622519e-05,0.9999992843616647,0.0005842929726926467,0.01307265109076386,0.3954264048293164,-5.812103957611128e-22,0.3956424343302665
0.05499999999999999,0.0007058363979036765,9.992251962922327e-06,0.010871143851984627,0.025439419009996984,0.00037070849898333043,0.39531751514438385,0.999999740440344,-2.3815895023431357e-05,-0.0007201055809075355,4.390290117162957e-12,-0.0016876555086929505,-0.05105339596283634,1.6272959874423054e-22,0.9999999999999999,0.08256314546043901,-0.08251802838150415,-0.08251802838150415,0.002729102663007306,-0.0014402107879945662,4.763177767724873e-05,0.9999989617615109,0.0007059071225769915,0.014358616067961707,0.4343509618865854,-1.2040188829955507e-21,0.4345882280356764
0.05999999999999999,0.0008385929992777049,1.1937360391216318e-05,0.012937580112392865,0.027659450649986456,0.0004074610855925656,0.43125706274682507,0.9999996357411711,-2.8211049037703383e-05,-0.0008530660361048191,5.990428168926641e-12,-0.0018281215905274187,-0.055304252483176886,-4.2929092758297476e-23,1.0,0.09780761808277408,-0.09775417900254749,-0.09775417900254749,0.0032327516196533675,-0.0017061314507363058,5.6422077512938935e-05,0.9999985429649497,0.0008386779590585928,0.015640570119820188,0.47314438597865643,5.244325069082529e-22,0.47340282785043947
