time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,cmd_gimbal_x_deg,cmd_gimbal_y_deg,cmd_gimbal_total_deg,ach_gimbal_x_deg,ach_gimbal_y_deg,ach_gimbal_total_deg,gimbal_lag_error_deg,requested_torque_norm_nm,achievable_torque_norm_nm,available_tvc_torque_nm,torque_authority_margin_nm,rate_limited,position_limited,saturated
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4994862221762746,0.0,1.4994862221762746,0.0,0.0,0.0,1.4994862221762746,0.0,0.0,88.89885760261133,88.89885760261133,0,0,0
0.005,3.239365884144266e-07,8.098414710360664e-08,8.991675570246787e-05,0.00012959753559068187,3.239938389767047e-05,0.035966678404520454,0.9999999999996352,-2.0715873977953084e-07,8.286349591181234e-07,0.0,-0.00016572625300257046,0.0006629050120102819,0.0,1.0,9.78753834617457e-05,9.495457182894495e-05,2.373864295725661e-05,1.6572699182356422e-06,4.1431747955891054e-07,0.9999999999985408,3.3390619250872874e-07,1.5006886137432787,0.0003008039486722049,1.5006886438904437,0.10004590758288526,2.0053596578146993e-05,0.10004590959269626,1.4006427342977474,0.02207931181849678,1.7810522309925558,88.89885760261133,88.87677829079283,0,0,0
0.01,1.6672292822196522e-06,3.241852168580182e-07,0.0003596662206710174,0.0004076843529991121,6.489870900391729e-05,0.07193308383884167,0.9999999999995789,-8.278866600245927e-07,-3.9601401495474786e-07,1.280088583056329e-12,-0.0003308564813400064,-0.001642626701200562,-1.9607244149405103e-25,1.0,0.000105163289455128,-4.5379863370044715e-05,9.486882306915747e-05,-7.920280299112817e-07,1.6557733200474742e-06,0.9999999999983156,1.6984550433614476e-06,1.4965346962080812,0.0006075079732120577,1.496534819514919,0.19314516015789834,5.9217221687074363e-05,0.19314516923573197,1.3033896513736247,0.05368083574744272,3.438433007963478,88.89885760261133,88.84517676686389,0,0,0
0.015,4.744655705053343e-06,7.303526928173277e-07,0.0008092464783779631,0.0008229900836571529,9.759783828225399e-05,0.10789899677332315,0.9999999999395458,-1.8599936505891752e-06,-1.0837385024471295e-05,1.0981651101377687e-11,-0.0004948307188347633,-0.006710471624714788,-1.9607244149405103e-25,1.0,0.0012600302015099906,-0.0012418728457540696,0.0002131395722238155,-2.167477004767311e-05,3.7199873007154367e-06,0.9999999997581831,4.800538804696902e-06,1.4872733394250663,0.0009190706056633159,1.4872736233979833,0.2794203721090429,0.00011654078061882379,0.27942039641248373,1.2078532339271368,0.21818084576558416,4.974322315269472,88.89885760261133,88.68067675684574,0,0,0
0.02,1.0212125705008448e-05,1.300730935514242e-06,0.001438654665028954,0.0013632524625514677,0.00013059482209173837,0.14386425861095908,0.999999999304563,-3.2999255002884843e-06,-3.714814479814936e-05,4.7111663934093096e-11,-0.0006571176578916317,-0.014338136182386354,9.215404750220399e-24,1.0,0.004273626307804777,-0.004256863828416059,0.0003781436083311406,-7.429628954494127e-05,6.599850992486965e-06,0.9999999972182517,1.0294630269295642e-05,1.4731554738163655,0.0012344788556308435,1.4731559910522596,0.3590027122228644,0.00019106998561962512,0.3590027630689103,1.114153250171849,0.46958233022019275,6.391054025057878,88.89885760261133,88.42927527239114,0,0,0
0.025,1.866196981562279e-05,2.037049550807612e-06,0.0022478872750768134,0.002015316239842991,0.00016398567267470496,0.1798287717627066,0.999999996333396,-5.142835744531967e-06,-8.547958408550477e-05,1.4258731758263655e-10,-0.0008172148127853576,-0.02432701322654114,-9.607549633208501e-24,1.0,0.009812951030379673,-0.009795238817667338,0.0005893255708464155,-0.00017095916754563659,1.0285671426973841e-05,0.9999999853335839,1.8772817803187182e-05,1.4544334771432612,0.0015527497432501123,1.4544343059990035,0.4320314298842242,0.0002818486361283243,0.4320315218204119,1.022402837158179,0.8030622630544442,7.691107095631787,88.89885760261133,88.09579533955689,0,0,0
0.030000000000000002,3.061871635720865e-05,2.9415126690995846e-06,0.0032369404620039245,0.0027652297062533138,0.00019786415402569342,0.2157924976863237,0.9999999869329739,-7.382657821433676e-06,-0.00016149163574404046,3.4840389637552323e-10,-0.0009746486083526357,-0.036482623863798885,2.941086622410765e-24,1.0,0.018524905690951873,-0.018505578391838955,0.0008459902961696301,-0.00032298326727279433,1.4765315337399955e-05,0.9999999477318959,3.075968608659181e-05,1.431360576561592,0.001872931696601759,1.4313618019242629,0.49865337299604867,0.0003879208401598866,0.49865352388498635,0.9327083857456734,1.2140669976321394,8.877096667999174,88.89885760261133,87.68479060497918,0,0,0
0.035,4.6535344935227815e-05,4.016787212014092e-06,0.0044058103245769266,0.003598338708752144,0.00023232158700801637,0.2517554530483598,0.9999999634016723,-1.001217734876386e-05,-0.0002703634783738224,7.360050507144981e-10,-0.0011289743965768588,-0.05061484444805603,2.8038359133649296e-23,1.0,0.031002609363066744,-0.03098137287353388,0.0011473111146545136,-0.0005407269369726805,2.0024353566692054e-05,0.9999998536066917,4.6708381557780746e-05,1.404190267035576,0.0021941058144347683,1.4041919812254189,0.5590224992653505,0.000508333171778212,0.5590227303853506,0.8451694489906203,1.6980668452261305,9.9517650883356,88.89885760261133,87.20079075738519,0,0,0
0.04,6.679000350628851e-05,5.265990222334193e-06,0.005754493169637679,0.0044993780456147395,0.00026744666953453563,0.2877177041929083,0.9999999130521217,-1.3023104340329829e-05,-0.0004168046878597506,1.3989307792012639e-09,-0.0012797764036356668,-0.06653811861760697,-2.2156185888827763e-23,0.9999999999999999,0.04778560881288164,-0.047762300388428054,0.0014923381518321,-0.0008336093032753715,2.6046205249835263e-05,0.9999996522085018,6.699727771627554e-05,1.373175747095456,0.0025153869955932967,1.3731780509398268,0.6132993824540242,0.000642136760032551,0.6132997186189686,0.7598786736098884,2.250544031117917,10.917972882800411,88.89885760261133,86.64831357149342,0,0,0
0.045,9.168317565877998e-05,6.692675331968512e-06,0.0072829857434606685,0.00545256014238097,0.0003033253115859025,0.3236793601192316,0.9999998168124266,-1.640614518730036e-05,-0.0006050668988246253,2.4538146151310504e-09,-0.0014266676100492225,-0.08407165429720025,-2.2156185888827763e-23,1.0,0.06936104660155719,-0.0693355635147415,0.0018800066169926296,-0.001210133576048292,3.2812281394352864e-05,0.999999267249773,9.192712658392977e-05,1.3385693728358408,0.002835924937039862,1.338572376961509,0.6616507151461454,0.0007883893051663718,0.6616511848482568,0.6769217543635179,2.8669979008485367,11.778689709893609,88.89885760261133,86.0318597017628,0,0,0
