time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,gimbal_x_deg,gimbal_y_deg,gimbal_total_deg,requested_torque_norm_nm,achievable_torque_norm_nm,saturated
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4994862221762746,0.0,1.4994862221762746,0.0,26.69134395027892,0
0.005,5.784205776736658e-06,8.133486387175767e-08,8.9846581312063e-05,0.0022930158837862285,3.260914834637361e-05,0.035939136047991434,0.9999999985519589,-2.0347641195863298e-07,-5.381487704215624e-05,5.311524950351964e-16,-0.00016131864042617482,-0.04266936375239133,3.1371590639048166e-24,1.0,0.006166774662396026,-0.00616673066203894,-0.00616673066203894,2.3316679372675858e-05,-0.00010762975392846017,4.0695282332792436e-07,0.9999999942078354,5.784777595354446e-06,1.4220821400037542,0.0002928349037732021,1.4220821701540098,1.3789045130630007,25.313817212608537,0
0.01,2.2711252978684482e-05,3.268924649660566e-07,0.0003593965635185041,0.004454766252002588,6.569859946721555e-05,0.0718813891647977,0.9999999776414491,-7.993981790567064e-07,-0.0002114626739072544,1.2903278395677486e-14,-0.00031400301428519313,-0.08307769049617174,-1.5685795319524082e-23,1.0,0.024232010798552157,-0.02423183765949065,-0.02423183765949065,9.160428976481198e-05,-0.00042292533835851085,1.5987963223611861e-06,0.9999999105657973,2.2713605406131725e-05,1.3469803115380594,0.0005767948112665215,1.3469804350336427,2.7167468655404305,23.97721963853065,0
0.015,5.009002586903721e-05,7.392140972090515e-07,0.0008086658885150022,0.00647148658005073,9.932371759534717e-05,0.10782688695724749,0.9999998907784537,-1.7665285717456424e-06,-0.00046737560911943823,8.704921626642363e-14,-0.00045833170848613567,-0.1212927045064153,3.450874970295298e-23,1.0,0.05355768420700452,-0.05355730164989307,-0.05355730164989307,0.00020242932942402824,-0.0009347511161439034,3.533056757523951e-06,0.9999995631138388,5.0095480125878915e-05,1.27415320808631,0.0008520228926587075,1.2741534929590097,4.014019657787556,22.68106755381715,0
0.02,8.716282162260215e-05,1.32110975662724e-06,0.0014376709112359281,0.008330301491497091,0.00013353663870843701,0.14377566712384557,0.9999996669413865,-3.08432262412027e-06,-0.0008161541540414607,3.249656349674503e-13,-0.0005945796114320059,-0.15738130254096927,-6.588034034200115e-23,1.0,0.09352505512924478,-0.09352438730151237,-0.09352438730151237,0.0003534376911491791,-0.0016323077644285816,6.1686431931896625e-06,0.9999986677657677,8.717283294813021e-05,1.203571963437402,0.0011186670876241896,1.2035724833131638,5.2712395086861425,21.424852913999583,0
0.025,0.0001331097205530487,2.075642288637788e-06,0.0022464279523679133,0.010019194647371495,0.00016838638555541441,0.17972767853107682,0.9999992155290957,-4.732917544437021e-06,-0.001252564885737668,8.684396706343849e-13,-0.0007230177286863685,-0.19140951490860109,3.450874970295298e-23,1.0,0.14353442522975307,-0.14353340057499073,-0.14353340057499073,0.0005423536764008471,-0.0025051278062739268,9.465827661026274e-06,0.9999968621176132,0.00013312590280114948,1.1352064792082885,0.001376879632759515,1.1352073142091719,6.48894514198544,20.208045221701433,0
0.030000000000000002,0.00018705280720678242,3.00611210447055e-06,0.003234952858932606,0.011526979203264266,0.00020391898028320008,0.2156827832602276,0.9999984308024972,-6.693122669812057e-06,-0.0017715382427054918,1.8631389970922613e-12,-0.0008439130138247698,-0.22344246966414572,-1.6626943038695528e-22,1.0,0.20300488415586726,-0.20300343530239362,-0.20300343530239362,0.0007669789716894426,-0.0035430709256242354,1.338622432736011e-05,0.9999937232149134,0.00018707696115214818,1.069025526559604,0.0016268166064175593,1.0690267643835254,7.667695540013114,19.030093378537803,0
0.035,0.0002480602451576199,4.116042454735555e-06,0.004403260577233177,0.012843268832112918,0.0002401775546695931,0.2516407594835269,0.9999971958504869,-8.946409014927862e-06,-0.0023681661944805936,3.4018132532384617e-12,-0.0009575282139448315,-0.25354435981923557,-3.6704761047686354e-22,0.9999999999999999,0.27137404636701784,-0.2713721099435916,-0.2713721099435916,0.0010251915800532233,-0.004736319107577085,1.789276783960664e-05,0.999988783417674,0.00024809439137785376,1.0049968441257457,0.001868637491459334,1.0049985813466518,8.808068167492742,17.890427468884695,0
0.04,0.00031515020832349186,5.409165248192062e-06,0.005751364741982794,0.013958449309670622,0.0002772024579731493,0.28760130504015907,0.9999953861133755,-1.1474898460146287e-05,-0.003037699835022082,5.449321823588392e-12,-0.0010641217292974786,-0.2817784134533015,-9.693821507465883e-22,0.9999999999999999,0.3480977788660466,-0.34809529536739725,-0.34809529536739725,0.001314944703132675,-0.0060753716388390125,2.294969099942472e-05,0.9999815444960779,0.00031519662573546465,0.9430872320700255,0.0021025047561959434,0.9430895757136498,9.910657267017184,16.788460474067374,0
0.045,0.00038729467160982705,6.889407403839002e-06,0.007279277284814058,0.014863650659082928,0.0003150313624145036,0.3235640415938013,0.999992872495676,-1.4261352620461614e-05,-0.0037755469088042552,7.752148374592332e-12,-0.0011639474864967702,-0.3082068666074635,-1.7724948711062214e-21,1.0,0.4326499208345192,-0.43264683447151664,-0.43264683447151664,0.001634265571591232,-0.007551039997154896,2.8522501886681092e-05,0.9999714900843066,0.00038735594301848506,0.8832626422295247,0.002328583453598347,0.8832657116967586,10.976072226747204,15.723589916579744,0
0.049999999999999996,0.00046342306366554666,8.56087772452559e-06,0.008987008064803114,0.015550719850696441,0.0003536993663060952,0.3595285192638096,0.9999895240986502,-1.7289161433188743e-05,-0.004577269277670258,9.734989034262156e-12,-0.0012572548247660061,-0.33289093884335363,-1.370938510926405e-21,1.0,0.5245219958697718,-0.524518254421642,-0.524518254421642,0.0019812542234770784,-0.009154442653298043,3.4577960538158965e-05,0.9999580966140894,0.00046350213005397895,0.8254882643582766,0.0025470408386944867,0.8254921937912398,12.004936020106184,14.69519943486062,0
0.05499999999999999,0.0005424257845178949,1.0427854280370045e-05,0.010874564523127631,0.016012194053122986,0.0003932390948488766,0.39549422163203923,0.9999852106016092,-2.054233149913028e-05,-0.005438580335731369,1.0386911220290554e-11,-0.0013442883946821473,-0.3558908113495596,-9.693821507465885e-22,1.0,0.6232229175741233,-0.6232184722562907,-0.6232184722562907,0.0023540822316144797,-0.010876999804800634,4.108405526783163e-05,0.999940842843889,0.0005425260103024982,0.7697286085126924,0.0027580460039469384,0.7697335497304542,12.997883716601164,13.702660289956544,0
0.05999999999999999,0.0006231575908325227,1.2494772290369872e-05,0.012941951363511263,0.016241274431633416,0.0004336807986155256,0.43146057103655744,0.9999798043195594,-2.4005474209164867e-05,-0.0063553423789142185,8.139476249648812e-12,-0.001425288068888177,-0.37726560747998816,-1.370938510926405e-21,1.0,0.728278689251118,-0.7282734945706023,-0.7282734945706023,0.0027509913822995045,-0.012710428056901276,4.8009978701099514e-05,0.9999192180939682,0.0006232828429748263,0.7159475836508664,0.0029617695323050906,0.7159537098264641,13.955561062396555,12.745332806139064,0
0.06499999999999999,0.0007044408515259701,1.4766212490685956e-05,0.015189170259685407,0.01623180049011301,0.0004750524497400947,0.4674269340722087,0.9999731819633975,-2.766379368571239e-05,-0.007323563935158298,7.391032140584336e-13,-0.0015004888642530857,-0.39707337561082584,-2.174051231286038e-21,0.9999999999999999,0.8392320983334252,-0.8392261119594951,-0.8392261119594951,0.003170292308494168,-0.01464673506310529,5.532610358333578e-05,0.9998927292920042,0.0007045955963032654,0.6641085725386624,0.0031583831675497456,0.6641160828526688,14.878623128880628,11.822567748273837,0
0.06999999999999999,0.0007850686764393987,1.724688997818267e-05,0.017616219590719545,0.015978224953038238,0.000517379835834075,0.5033926272261487,0.9999652261274988,-3.15030745663262e-05,-0.008339397060739528,-1.488417375978918e-11,-0.0015701208749710127,-0.41537107420572317,-1.7724948711062214e-21,1.0,0.9556424062376756,-0.9556355888685222,-0.9556355888685222,0.00361036308140138,-0.016678214135217865,6.300395841310573e-05,0.9998609069284394,0.0007852580989332291,0.6141745030712257,0.003348059501491532,0.6141836286691568,15.76773302717869,10.933707639537879,0
0.075,0.0008638079207653844,1.9941643517905536e-05,0.020223094204731302,0.015475589184202438,0.0005606866516486266,0.5393569225840923,0.9999558265281968,-3.5509669654706776e-05,-0.009399134607734387,-4.274953591380468e-11,-0.001634409216104193,-0.4322145589822092,-1.6626943038695535e-22,1.0,1.0770850342342573,-1.0770773494696353,-1.0770773494696353,0.004069647764793653,-0.0187974388306506,7.101620294224837e-05,0.9998233100153783,0.00086403807388518,0.5661079161296125,0.00353097167754433,0.5661189278460842,16.62356068636592,10.078088024064092,0
0.08,0.000939402067903922,2.2855425303275945e-05,0.023009785211184068,0.014719499139200315,0.0006049945885023476,0.5753190535501427,0.9999448810153551,-3.967048746269714e-05,-0.01049920746723624,-8.795791816547367e-11,-0.001693573977088261,-0.44765857207600923,1.4399560103323107e-21,1.0,1.2031512459331468,-1.2031426601489308,-1.2031426601489308,0.004546654936791141,-0.02099725752315516,7.933660357839251e-05,0.9997795301376249,0.0009396800602587875,0.5198710300993954,0.0037072931101682807,0.5198842486157963,17.44678169300294,9.255038680443427,0
